Date,Adj Close_BND,Adj Close_SPY,Adj Close_TSLA,Close_BND,Close_SPY,Close_TSLA,High_BND,High_SPY,High_TSLA,Low_BND,Low_SPY,Low_TSLA,Open_BND,Open_SPY,Open_TSLA,Volume_BND,Volume_SPY,Volume_TSLA,TSLA_Daily_Return,TSLA_Rolling_Volatility,BND_Daily_Return,BND_Rolling_Volatility,SPY_Daily_Return,SPY_Rolling_Volatility
2015-07-01,60.81673049926758,174.9171142578125,17.94333267211914,80.9000015258789,207.5,17.94333267211914,81.02999877929688,208.02999877929688,18.174667358398438,80.83000183105469,206.55999755859375,17.856666564941406,80.87000274658203,207.72999572753906,18.073999404907227,5399300,135979900,31518000,,,,,,
2015-07-02,60.967079162597656,174.7569580078125,18.667999267578125,81.0999984741211,207.30999755859375,18.667999267578125,81.18000030517578,208.27000427246094,18.829999923706055,81.05999755859375,206.80999755859375,18.220666885375977,81.05999755859375,208.07000732421875,18.68000030517578,1060100,104373700,107458500,0.04038639915454456,,0.0024721595866106227,,-0.0009156122354267993,
2015-07-06,61.17755889892578,174.25953674316406,18.648000717163086,81.37999725341797,206.72000122070312,18.648000717163086,81.44000244140625,207.64999389648438,18.779333114624023,81.22000122070312,205.52999877929688,18.420000076293945,81.44000244140625,205.77000427246094,18.591999053955078,2210700,117975400,61828500,-0.001071274437522196,,0.0034523506656236602,,-0.00284636028412788,
2015-07-07,61.23771286010742,175.3553924560547,17.858667373657227,81.45999908447266,208.02000427246094,17.858667373657227,81.7699966430664,208.1699981689453,18.34666633605957,81.45999908447266,204.11000061035156,17.384666442871094,81.69000244140625,206.9600067138672,18.333332061767578,4183200,173820200,91576500,-0.04232804124569667,,0.000983268411886451,,0.006288641261027683,
2015-07-08,61.4106330871582,172.41346740722656,16.997333526611328,81.69000244140625,204.52999877929688,16.997333526611328,81.76000213623047,206.75999450683594,17.386667251586914,81.55999755859375,204.25,16.95400047302246,81.63999938964844,206.4199981689453,17.288000106811523,1967800,164020100,93316500,-0.04823057784907436,,0.002823753843416821,,-0.01677692945522269,
2015-07-09,61.20764923095703,172.7253875732422,17.19466781616211,81.41999816894531,204.89999389648438,17.19466781616211,81.58000183105469,207.35000610351562,17.530000686645508,81.37999725341797,204.77000427246094,17.119333267211914,81.55999755859375,207.0399932861328,17.27199935913086,1670900,144113100,50011500,0.011609720385955313,,-0.003305353584501902,,0.0018091403804256778,
2015-07-10,60.922000885009766,174.90025329589844,17.27666664123535,81.04000091552734,207.47999572753906,17.27666664123535,81.16000366210938,207.97999572753906,17.53333282470703,80.94999694824219,204.9499969482422,17.187999725341797,81.0199966430664,207.2899932861328,17.481332778930664,2038300,129456900,39163500,0.004768851945843755,,-0.00466687333260285,,0.01259146529188726,
2015-07-13,60.77915573120117,176.8306427001953,17.477333068847656,80.8499984741211,209.77000427246094,17.477333068847656,81.01000213623047,209.89999389648438,17.503332138061523,80.83999633789062,208.94000244140625,17.06999969482422,80.86000061035156,208.99000549316406,17.483333587646484,2846500,106069400,44404500,0.011614881028806812,,-0.0023447219679835207,,0.01103708752800392,
2015-07-14,60.89188766479492,177.5977325439453,17.709999084472656,81.0,210.67999267578125,17.709999084472656,81.06999969482422,211.0500030517578,17.732667922973633,80.95999908447266,209.64999389648438,17.367332458496094,81.0,209.72000122070312,17.47333335876465,1567700,81709600,28614000,0.013312443878506386,,0.0018547795249461707,,0.004337991606186531,
2015-07-15,61.06478500366211,177.53872680664062,17.542667388916016,81.2300033569336,210.61000061035156,17.542667388916016,81.26000213623047,211.27999877929688,17.832666397094727,80.9800033569336,210.0399932861328,17.472000122070312,81.01000213623047,210.72999572753906,17.78266716003418,2631000,97914100,30324000,-0.009448430502932648,,0.002839414994308731,,-0.00033224375367568726,
